"","GEOCODE","CDUID.x","GEOLABEL","allHouses","lt1PPerRoom","gt1PPerRoom","pcGt1PPerRoom","CDUID.y","allHouseholds","ownerOccupied","notOO","pcNotOO"
"131","E07000098",1211137,"Hertsmere",39778,39033,745,1.87,1211137,39778,26897,12881,32.38
"132","E07000099",1211138,"North Hertfordshire",53426,52918,508,0.95,1211138,53426,35072,18354,34.35
"133","E07000100",1211139,"St Albans",56140,55409,731,1.3,1211139,56140,40831,15309,27.27
"134","E07000101",1211140,"Stevenage",34898,34321,577,1.65,1211140,34898,20339,14559,41.72
"135","E07000102",1211141,"Three Rivers",35108,34644,464,1.32,1211141,35108,25532,9576,27.28
"136","E07000103",1211142,"Watford",36681,35441,1240,3.38,1211142,36681,22608,14073,38.37
"137","E07000104",1211143,"Welwyn Hatfield",43613,42859,754,1.73,1211143,43613,24995,18618,42.69
"138","E07000105",1211144,"Ashford",47787,47138,649,1.36,1211144,47787,32685,15102,31.6
"139","E07000106",1211145,"Canterbury",60771,60016,755,1.24,1211145,60771,40107,20664,34
"140","E07000107",1211146,"Dartford",40081,39284,797,1.99,1211146,40081,26819,13262,33.09
"141","E07000108",1211147,"Dover",48310,47494,816,1.69,1211147,48310,32142,16168,33.47
"142","E07000109",1211148,"Gravesham",40431,39456,975,2.41,1211148,40431,26099,14332,35.45
"143","E07000110",1211149,"Maidstone",63447,62535,912,1.44,1211149,63447,44700,18747,29.55
"144","E07000111",1211150,"Sevenoaks",47020,46584,436,0.93,1211150,47020,34200,12820,27.26
"145","E07000112",1211151,"Shepway",47379,46582,797,1.68,1211151,47379,30715,16664,35.17
"146","E07000113",1211152,"Swale",55585,54821,764,1.37,1211152,55585,37951,17634,31.72
"147","E07000114",1211153,"Thanet",59513,58518,995,1.67,1211153,59513,36907,22606,37.98
"148","E07000115",1211154,"Tonbridge and Malling",48140,47642,498,1.03,1211154,48140,34246,13894,28.86
"149","E07000116",1211155,"Tunbridge Wells",47174,46326,848,1.8,1211155,47174,30999,16175,34.29
"150","E07000117",1211156,"Burnley",37550,36918,632,1.68,1211156,37550,24408,13142,35
"151","E07000118",1211157,"Chorley",44919,44574,345,0.77,1211157,44919,33783,11136,24.79
"152","E07000119",1211158,"Fylde",34885,34728,157,0.45,1211158,34885,25622,9263,26.55
"153","E07000120",1211159,"Hyndburn",34341,33778,563,1.64,1211159,34341,23238,11103,32.33
"154","E07000121",1211160,"Lancaster",57822,57335,487,0.84,1211160,57822,39999,17823,30.82
"155","E07000122",1211161,"Pendle",37348,36534,814,2.18,1211161,37348,25580,11768,31.51
"156","E07000123",1211162,"Preston",57567,56616,951,1.65,1211162,57567,34909,22658,39.36
"157","E07000124",1211163,"Ribble Valley",24045,23949,96,0.4,1211163,24045,18423,5622,23.38
"158","E07000125",1211164,"Rossendale",29058,28682,376,1.29,1211164,29058,20250,8808,30.31
"159","E07000126",1211165,"South Ribble",46102,45789,313,0.68,1211165,46102,36337,9765,21.18
